description;fromPlace;origin;toPlace;destination;transportType;blacklistedDays;raptorRange;raptorDays;raptorProfile
Fylkeskryssende;NSR:StopPlace:11;Drammen;NSR:StopPlace:58211;Oslo Lufthavn;flytoget;;240;2;multiCriteria
Fylkeskryssende;NSR:StopPlace:20762;Notodden Skysstasjon;NSR:StopPlace:6505;Oslo Bussterminal;TIMEkspressen;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:38768;Ålesund Hurtigbåtkai;NSR:StopPlace:38672;Hareid hurtigbåtkai;hurtigbåt;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:58054;Tromsø Hurtigrutekai;NSR:StopPlace:58035;Vadsø Hurtigrutekai;hurtigruta;;240;2;multiCriteria
NSB;NSR:StopPlace:659;Trondheim;NSR:StopPlace:337;Oslo S;NSB tog;;240;2;multiCriteria
NSB;NSR:StopPlace:1;Drammen;NSR:StopPlace:302;Gjøvik;NSB tog+NSB tog;;240;2;multiCriteria
NSB;NSR:StopPlace:324;Gol;NSR:StopPlace:577;Billingstad;NSB tog+NSB tog;;240;2;multiCriteria
NSB;NSR:StopPlace:426;Lier;NSR:StopPlace:694;Spikkestad;NSB tog+NSB tog;;240;2;multiCriteria
Ruter;NSR:StopPlace:58195;Storo;NSR:StopPlace:58366;Jernbanetorget;t-bane;;240;1;multiCriteria
Ruter;NSR:StopPlace:6024;Sinsenterrassen;NSR:StopPlace:58251;Brugata;trikk;;240;1;multiCriteria
Ruter;NSR:StopPlace:58382;Aker brygge;NSR:StopPlace:4411;Hovedøya;båt;;240;1;multiCriteria
Ruter;NSR:StopPlace:337;Oslo S;NSR:StopPlace:375;Langhus;NSB tog;;240;1;multiCriteria
Ruter;NSR:StopPlace:4401;IKEA Slependen;NSR:StopPlace:6505;Oslo Bussterminal;buss;;240;1;multiCriteria
Ruter;NSR:StopPlace:6715;Ljabru hovedgård;NSR:StopPlace:5336;Kjellås(Enebakk);buss (grønn);;240;1;multiCriteria
Østold;NSR:StopPlace:1544;Sellebakk torg;NSR:StopPlace:1850;Gressvikveien;Buss;;240;2;multiCriteria
Østold;NSR:StopPlace:2410;Paul Holmsens vei;NSR:StopPlace:2143;Skiveien;Buss;;240;2;multiCriteria
Østold;NSR:StopPlace:1924;Slevikkrysset;NSR:StopPlace:412;Askim;Buss,Tog;;240;2;multiCriteria
Østold;NSR:StopPlace:2839;Kallumtoppen;NSR:StopPlace:2580;Flatland;Buss,Tog;;240;2;multiCriteria
Østold;NSR:StopPlace:2994;Ingerfjellveien;NSR:StopPlace:2793;Veden;Buss;6;240;2;multiCriteria
Østold;NSR:StopPlace:3009;Sponvika;NSR:StopPlace:1845;Skjærhalden;Buss;6;240;2;multiCriteria
Østold;NSR:StopPlace:1878;Makø brygge;NSR:StopPlace:1869;Gravningsund brygge;Båt;;240;2;multiCriteria
Østold;NSR:StopPlace:1897;Viker;NSR:StopPlace:1454;Thorsø gård;Buss;;240;2;multiCriteria
Østold;NSR:StopPlace:2576;Sarpsborg Rådhus;NSR:StopPlace:1929;Bergenhus;Buss;6;240;2;multiCriteria
Østold;NSR:StopPlace:911;Ørje busstorg;NSR:StopPlace:1005;Skjønhaug torv;Buss;6;240;2;multiCriteria
Akershus;NSR:StopPlace:5300;Borud;NSR:StopPlace:4489;Lillestrøm terminal;Buss;6;240;2;multiCriteria
Akershus;NSR:StopPlace:5353;Georg Stangs vei;NSR:StopPlace:5584;Åråsen;Buss;;240;2;multiCriteria
Akershus;NSR:StopPlace:640;Sørumsand;NSR:StopPlace:6802;Styri;Buss,Tog;;240;2;multiCriteria
Akershus;NSR:StopPlace:166;Eidsvoll Verk;NSR:StopPlace:3891;Hurdal kirke;Buss;6;240;2;multiCriteria
Akershus;NSR:StopPlace:3122;Minnesund nord;NSR:StopPlace:3509;Nannestad torg;Buss;6;240;2;multiCriteria
Akershus;NSR:StopPlace:3501;Røtterud;NSR:StopPlace:5163;Markavegen;Buss;;240;2;multiCriteria
