description;fromPlace;origin;toPlace;destination;transportType;blacklistedDays;raptorRange;raptorDays;raptorProfile
Fylkeskryssende;RB:NSR:StopPlace:11;Drammen;RB:NSR:StopPlace:58211;Oslo Lufthavn;flytoget;;120;3;earliestArrival
Fylkeskryssende;RB:NSR:StopPlace:20762;Notodden Skysstasjon;RB:NSR:StopPlace:6505;Oslo Bussterminal;TIMEkspressen;;120;3;earliestArrival
Møre og Romsdal;RB:NSR:StopPlace:38768;Ålesund Hurtigbåtkai;RB:NSR:StopPlace:38672;Hareid hurtigbåtkai;hurtigbåt;;120;3;earliestArrival
Møre og Romsdal;RB:NSR:StopPlace:58054;Tromsø Hurtigrutekai;RB:NSR:StopPlace:58035;Vadsø Hurtigrutekai;hurtigruta;;120;3;earliestArrival
NSB;RB:NSR:StopPlace:659;Trondheim;RB:NSR:StopPlace:337;Oslo S;NSB tog;;120;2;earliestArrival
NSB;RB:NSR:StopPlace:1;Drammen;RB:NSR:StopPlace:302;Gjøvik;NSB tog+NSB tog;;120;2;earliestArrival
NSB;RB:NSR:StopPlace:324;Gol;RB:NSR:StopPlace:577;Billingstad;NSB tog+NSB tog;;120;2;earliestArrival
NSB;RB:NSR:StopPlace:426;Lier;RB:NSR:StopPlace:694;Spikkestad;NSB tog+NSB tog;;120;2;earliestArrival
Ruter;RB:NSR:StopPlace:58195;Storo;RB:NSR:StopPlace:58366;Jernbanetorget;t-bane;;40;1;earliestArrival
Ruter;RB:NSR:StopPlace:6024;Sinsenterrassen;RB:NSR:StopPlace:58251;Brugata;trikk;;40;1;earliestArrival
Ruter;RB:NSR:StopPlace:58382;Aker brygge;RB:NSR:StopPlace:4411;Hovedøya;båt;;40;1;earliestArrival
Ruter;RB:NSR:StopPlace:337;Oslo S;RB:NSR:StopPlace:375;Langhus;NSB tog;;40;1;earliestArrival
Ruter;RB:NSR:StopPlace:4401;IKEA Slependen;RB:NSR:StopPlace:6505;Oslo Bussterminal;buss;;40;1;earliestArrival
Ruter;RB:NSR:StopPlace:6715;Ljabru hovedgård;RB:NSR:StopPlace:5336;Kjellås(Enebakk);buss (grønn);;40;1;earliestArrival
Østold;RB:NSR:StopPlace:1544;Sellebakk torg;RB:NSR:StopPlace:1850;Gressvikveien;Buss;;120;2;earliestArrival
Østold;RB:NSR:StopPlace:2410;Paul Holmsens vei;RB:NSR:StopPlace:2143;Skiveien;Buss;;120;2;earliestArrival
Østold;RB:NSR:StopPlace:1924;Slevikkrysset;RB:NSR:StopPlace:412;Askim;Buss,Tog;;120;2;earliestArrival
Østold;RB:NSR:StopPlace:2839;Kallumtoppen;RB:NSR:StopPlace:2580;Flatland;Buss,Tog;;120;2;earliestArrival
Østold;RB:NSR:StopPlace:2994;Ingerfjellveien;RB:NSR:StopPlace:2793;Veden;Buss;6;120;2;earliestArrival
Østold;RB:NSR:StopPlace:3009;Sponvika;RB:NSR:StopPlace:1845;Skjærhalden;Buss;6;120;2;earliestArrival
Østold;RB:NSR:StopPlace:1878;Makø brygge;RB:NSR:StopPlace:1869;Gravningsund brygge;Båt;;120;2;earliestArrival
Østold;RB:NSR:StopPlace:1897;Viker;RB:NSR:StopPlace:1454;Thorsø gård;Buss;;120;2;earliestArrival
Østold;RB:NSR:StopPlace:2576;Sarpsborg Rådhus;RB:NSR:StopPlace:1929;Bergenhus;Buss;6;120;2;earliestArrival
Østold;RB:NSR:StopPlace:911;Ørje busstorg;RB:NSR:StopPlace:1005;Skjønhaug torv;Buss;6;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:5300;Borud;RB:NSR:StopPlace:4489;Lillestrøm terminal;Buss;6;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:5353;Georg Stangs vei;RB:NSR:StopPlace:5584;Åråsen;Buss;;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:640;Sørumsand;RB:NSR:StopPlace:6802;Styri;Buss,Tog;;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:166;Eidsvoll Verk;RB:NSR:StopPlace:3891;Hurdal kirke;Buss;6;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:3122;Minnesund nord;RB:NSR:StopPlace:3509;Nannestad torg;Buss;6;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:3501;Røtterud;RB:NSR:StopPlace:5163;Markavegen;Buss;;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:344;Jessheim;RB:NSR:StopPlace:6497;Årnes stasjon;Buss,Tog;;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:4489;Lillestrøm terminal;RB:NSR:StopPlace:4663;Nittedal stasjon;Buss,Tog;;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:4698;Slattum;RB:NSR:StopPlace:4892;Ask terminal;Buss;;120;2;earliestArrival
Akershus;RB:NSR:StopPlace:5576;Drøbak torg;RB:NSR:StopPlace:58368;Nesoddtangen;Buss;;120;2;earliestArrival
Oslo;RB:NSR:StopPlace:6740;Prinsdal;RB:NSR:StopPlace:6626;Solemskogen;Buss,Trikk;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:58228;Mortensrud;RB:NSR:StopPlace:58213;Haugerud;T-bane;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:5891;Langerud sykehjem;RB:NSR:StopPlace:5994;Oppsal;Buss,T-bane;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:58248;Ryen;RB:NSR:StopPlace:6630;Malmøya;Buss,T-bane;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:6165;Tveita T;RB:NSR:StopPlace:4277;Inkognitogata;T-bane,Trikk;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:58258;Olaf Ryes plass;RB:NSR:StopPlace:6288;Alexander Kiellands plass;Buss,Trikk;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:5999;Årvoll senter;RB:NSR:StopPlace:4375;Bygdøhus;Buss;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:6056;Gladengveien;RB:NSR:StopPlace:4411;Hovedøya;Buss,Båt;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:58216;Grorud;RB:NSR:StopPlace:58220;Ellingsrudåsen;Buss,T-bane;;40;1;earliestArrival
Oslo;RB:NSR:StopPlace:530;Kjelsås;RB:NSR:StopPlace:6298;Vettakollen;Buss,T-bane;;40;1;earliestArrival
Hedmark;RB:NSR:StopPlace:8846;Skotterud sentrum;RB:NSR:StopPlace:10510;Kløverbakken;Buss;;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:635;Kongsvinger;RB:NSR:StopPlace:8000;Folldal rutebilstasjon;Buss,Tog;;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:9836;Roverud;RB:NSR:StopPlace:10643;Storhamarsenteret;Buss,Tog;;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:9601;Solvangvegen;RB:NSR:StopPlace:10700;Øvre Heggelia;Buss;;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:10580;CC Hamar;RB:NSR:StopPlace:6971;Bringebærvegen;Buss;7;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:169;Løten;RB:NSR:StopPlace:7334;Nybergsund;Buss;;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:8952;Osen sentrum;RB:NSR:StopPlace:8674;Drevsjø;Buss;6,7;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:8674;Drevsjø;RB:NSR:StopPlace:8189;Dalsbygda sentrum;Buss;6;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:580;Koppang;RB:NSR:StopPlace:7479;Kvikne Coop-marked;Buss,Tog;6;120;2;earliestArrival
Hedmark;RB:NSR:StopPlace:8544;Åkrestrømmen;RB:NSR:StopPlace:542;Brumunddal;Buss,Tog;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:13675;Kolbu sentrum;RB:NSR:StopPlace:13072;Nordlia;Buss;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:15;Raufoss;RB:NSR:StopPlace:10962;Jevnaker stasjon;Buss;6;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:12510;Bagn;RB:NSR:StopPlace:11881;Lom;Buss,Tog;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:11189;Fagernes skysstasjon;RB:NSR:StopPlace:645;Dombås;Buss,Tog;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:14093;Steinvegen;RB:NSR:StopPlace:14320;Holsjordet;Buss;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:13737;Pinnikvegen;RB:NSR:StopPlace:14488;Fredheim;Buss;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:46;Roa;RB:NSR:StopPlace:645;Dombås;Buss,Tog;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:12943;Etnedal rutebilstasjon;RB:NSR:StopPlace:17;Ringebu;Buss,Tog;7;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:12813;Segalstad bru;RB:NSR:StopPlace:11951;Beitostølen;Buss;;120;2;earliestArrival
Oppland;RB:NSR:StopPlace:14590;Bismo;RB:NSR:StopPlace:12192;Randsverk;Buss;6,7;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:14948;Toern;RB:NSR:StopPlace:15801;Rødberg;Buss,Tog;;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:17025;Jutulveien;RB:NSR:StopPlace:17329;Underlia snuplass;Buss;;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:17295;Sørensvingen;RB:NSR:StopPlace:17220;Gulskogen Senter;Buss;;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:17095;Tranby;RB:NSR:StopPlace:16032;Prestfoss herredshus;Buss;7;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:17381;Riegelsbakken;RB:NSR:StopPlace:15451;Lampeland;Buss;;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:245;Hokksund stasjon;RB:NSR:StopPlace:15726;Fossekallveien;Buss,Tog;;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:15534;Elsrud;RB:NSR:StopPlace:17342;Strøtvet snuplass;Buss;6,7;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:318;Geilo stasjon;RB:NSR:StopPlace:16043;Leveld posthus;Buss,Tog;7;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:15733;Hol sentrum;RB:NSR:StopPlace:11189;Fagernes skysstasjon;Buss;7;120;2;earliestArrival
Buskerud;RB:NSR:StopPlace:16743;Lierbyen bussterminal;RB:NSR:StopPlace:15255;Filtvet;Buss;;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:259;Holmestrand stasjon;RB:NSR:StopPlace:18750;Svarstad;Buss,Tog;;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:18729;Sundbyfoss;RB:NSR:StopPlace:18964;Tjøme kommunehus;Buss;;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:17452;Torggata;RB:NSR:StopPlace:18872;Høyjord;Buss;7;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:19031;Andebu sentrum;RB:NSR:StopPlace:19480;Fjellvik;Buss;7;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:17465;Ranvik;RB:NSR:StopPlace:18990;Kamfjordkilen;Buss;;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:17566;Trudvangveien;RB:NSR:StopPlace:18999;Almeveien;Buss;7;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:653;Tønsberg stasjon;RB:NSR:StopPlace:19363;Gloppeskogen;Buss,Tog;;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:18011;Helgeroa;RB:NSR:StopPlace:18603;Kvelde Gylnaveien;Buss;;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:18917;Tenvik brygge;RB:NSR:StopPlace:18813;Ormelet;Buss;7;120;2;earliestArrival
Vestfold;RB:NSR:StopPlace:17486;Revetal;RB:NSR:StopPlace:17660;Gullhaug;Buss;7;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20649;Langesund torv;RB:NSR:StopPlace:19570;Rauland Krossen;Buss,Tog;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:21337;Smihaugvegen;RB:NSR:StopPlace:20826;Bjørndalen;Buss;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20257;Meieritorvet;RB:NSR:StopPlace:19979;Skien sykehjem;Buss;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20443;Gjerpen kirke;RB:NSR:StopPlace:1;Drangedal stasjon;Buss,Tog;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20259;Holtesletta;RB:NSR:StopPlace:590;Bø stasjon;Buss,Tog;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:21199;Ulefoss Senter;RB:NSR:StopPlace:21570;Vrådal sentrum;Buss;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20557;Kviteseid sentrum;RB:NSR:StopPlace:21388;Tinnoset;Buss;;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20609;Austbygde;RB:NSR:StopPlace:19570;Rauland Krossen;Buss;6;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:20550;Arabygdi;RB:NSR:StopPlace:20485;Kragerø rutebilstasjon;Buss;6,7;120;2;earliestArrival
Telemark;RB:NSR:StopPlace:21545;Vestheia;RB:NSR:StopPlace:20849;Jomfruland Tårnbrygga;Buss,Båt;;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:296;Gjerstad stasjon;RB:NSR:StopPlace:25350;Buvikbakken;Buss;6,7;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:21832;Risør torv;RB:NSR:StopPlace:22041;Valle;Buss;;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:58375;Gjeving brygge;RB:NSR:StopPlace:24632;Arendal stasjon;Buss;6,7;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:21979;Hastensund;RB:NSR:StopPlace:24171;Kolbjørnsvik;Buss;7;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:22201;Heidalen;RB:NSR:StopPlace:250;Nelaug stasjon;Buss,Tog;;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:25611;Grimstad Odden;RB:NSR:StopPlace:250;Nelaug stasjon;Buss,Tog;;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:24891;Fevik nedre;RB:NSR:StopPlace:24883;Birkeland Tomta;Buss;;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:22997;Høvågkrysset;RB:NSR:StopPlace:24663;Engekjerr;Buss;6,7;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:23067;Nedenes terminal;RB:NSR:StopPlace:296;Gjerstad stasjon;Buss,Tog;;120;2;earliestArrival
Aust-Agder;RB:NSR:StopPlace:23552;Lillesand Viadukten;RB:NSR:StopPlace:25363;Byglandsfjord;Buss;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:25793;Sodefjed;RB:NSR:StopPlace:24266;Tonstad sentrum;Buss,Tog;6,7;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:23237;Karuss;RB:NSR:StopPlace:21919;Rugdeveien;Buss;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:23776;Lund Torv;RB:NSR:StopPlace:25260;Bryggegata;Buss;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:22354;Vennesla sentrum;RB:NSR:StopPlace:24068;Tangvall;Buss;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:23380;Spangereid;RB:NSR:StopPlace:24221;Konsmo;Buss;6,7;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:24842;Farsund sentrum;RB:NSR:StopPlace:177;Marnardal;Buss,Tog;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:23978;Kirkehamn;RB:NSR:StopPlace:24600;Andabeløy;Buss,Ferje;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:25080;Flekkefjord rutebilstasjon;RB:NSR:StopPlace:22086;Vanse rutebilgården;Buss;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:23851;Lyngdal rutebilstasjon;RB:NSR:StopPlace:29;Gyland stasjon;Buss,Tog;;120;2;earliestArrival
Vest-Agder;RB:NSR:StopPlace:25198;Skinsnes;RB:NSR:StopPlace:25291;Furutoppen;Buss;7;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:28828;Egersund rutebilstasjon;RB:NSR:StopPlace:28401;Rekavikgata;Buss,Tog,Ferje,Båt;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:26062;Hauge i Dalane;RB:NSR:StopPlace:26370;Heskestad;Buss;7;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:28419;Bjerkreim;RB:NSR:StopPlace:702;Sandnes Sentrum stasjon;Buss,Tog;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:27709;Nærbø stasjon;RB:NSR:StopPlace:58566;Hommersåk kai;Buss,Tog;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:28721;Byrkjedalstunet;RB:NSR:StopPlace:58485;Fiskepirterminalen;Buss,Tog;6,7;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:28082;Engøy;RB:NSR:StopPlace:26218;Sjøveien;Buss;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:27258;Stavanger turnhall;RB:NSR:StopPlace:58486;Judaberg ferjekai;Buss,Båt;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:26469;Vikevåg kai;RB:NSR:StopPlace:27715;Kopervik;Buss,Båt;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:58486;Judaberg ferjekai;RB:NSR:StopPlace:26896;Ølensvåg;Buss,Båt;;120;2;earliestArrival
Rogaland;RB:NSR:StopPlace:27468;Suldalsosen;RB:NSR:StopPlace:26420;Skjoldastraumen;Buss,Ferje;6;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:30728;Sveio sentrum;RB:NSR:StopPlace:58476;Masfjordnes ferjekai;Buss;;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:29253;Kåso Langevåg;RB:NSR:StopPlace:31625;Husnes sentrum;Buss,Båt;7;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:30975;Røldal sentrum;RB:NSR:StopPlace:29823;Leirvik bussterminal;Buss,Båt;;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:28911;Osøyro;RB:NSR:StopPlace:31787;Vinje;Buss,Tog;;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:398;Arna stasjon;RB:NSR:StopPlace:32336;Hernar båtkai;Buss,Tog,Båt;;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:31882;Melkeplassen;RB:NSR:StopPlace:29147;Starefossbakken;Buss;;120;2;earliestArrival
Hordaland;RB:NSR:StopPlace:30890;Nordnes skole;RB:NSR:StopPlace:32416;Åsane brannstasjon;Buss;;120;2;earliestArrival
