description;stopPlaceId;stopPlaceName;transportType;type;isMultiModal
Østfold;NSR:StopPlace:2562;Halden bussterminal;Buss;;
Østfold;NSR:StopPlace:192;Halden;Tog;;
Østfold;NSR:StopPlace:1338;Sarpsborg stasjon;Buss;;
Østfold;NSR:StopPlace:94;Sarpsborg;Tog;;
Østfold;NSR:StopPlace:2309;Fredrikstad stasjon;Buss;;
Østfold;NSR:StopPlace:239;Fredrikstad;Tog;;
Østfold;NSR:StopPlace:2306;Fredrikstad bussterminal;Buss;T;
Østfold;NSR:StopPlace:3017;Moss stasjon;Buss;;
Østfold;NSR:StopPlace:203;Moss;Tog;;
Østfold;NSR:StopPlace:2900;Moss bussterminal;Buss;T;
Østfold;NSR:StopPlace:58092;Moss ferjekai;Ferje;;
Østfold;NSR:StopPlace:1229;Askim stasjon;Buss;;
Østfold;NSR:StopPlace:412;Askim;Tog;;
Østfold;NSR:StopPlace:1369;Askim torg;Buss;;
Østfold;NSR:StopPlace:2136;Skautun;Buss;;
Østfold;NSR:StopPlace:1656;Elvestad rv. 120;Buss;;
Østfold;NSR:StopPlace:911;Ørje busstorg;Buss;;
Akershus;NSR:StopPlace:4030;Sandvika bussterminal;Buss;T;
Akershus;NSR:StopPlace:610;Sandvika;Tog;;
Akershus;NSR:StopPlace:418;Asker;Tog;;
Akershus;NSR:StopPlace:3247;Asker stasjon;Buss;T;
Akershus;NSR:StopPlace:4489;Lillestrøm terminal;Buss;T;
Akershus;NSR:StopPlace:451;Lillestrøm;Tog;;
Akershus;NSR:StopPlace:5357;Oslo lufthavn;Buss;T;M
Akershus;NSR:StopPlace:269;Oslo lufthavn;Tog;;M
Akershus;NSR:StopPlace:5587;Nesoddtangen;Buss;T;
Akershus;NSR:StopPlace:5583;Nesoddtangen;Båt;;
Akershus;NSR:StopPlace:3169;Sagmoen;Buss;;
Akershus;NSR:StopPlace:5544;Skorkeberg;Buss;;
Akershus;NSR:StopPlace:5296;Bolseth;Buss;;
